New Segment Name,Non Derived Segments utilized,Segment Description,Digital Ad Targeting Price (CPM),Content Marketing Price (CPM),TV Targeting Price (CPM),Cost Per Click,Programmatic % of Media,CPM Cap,Advertiser Direct % of Media
Cybba > Behavioral Audience > Lifestyle > Real Estate Industry Enthusiasts,76570481:72196851 | Cybba > B2B Audience > Employment Industry > Real Estate > 1; 75301511:69593501 | Cybba > BEHAVIORAL AUDIENCE > REAL ESTATE > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Manager-Level Decision Makers,79900861:74869661 | Cybba > B2B Audience > Seniority > Manager > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Director-Level Decision Makers,79900851:74869651 | Cybba > B2B Audience > Seniority > Director > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Education Industry Enthusiasts,76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Branch Location Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Board Member Enthusiasts,79900831:74869601 | Cybba > B2B Audience > Seniority > Board Member > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Medical & Healthcare Decision Makers,76570411:72196711 | Cybba > B2B Audience > Employment Industry > Medical Health > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Education Decision Makers,76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1; 102122501:91175741 | Cybba > Cybba > Education Audience > No Known Education Deterministic > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Customer Service Decision Makers,116621991:5039141 | Cybba > Cybba > Behavioral Audience > Auto > Service Schedule Followers > 1; 116402431:5033911 | Cybba > Cybba > Behavioral Audience > Lifestyle > Local Service Researchers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Marketing Advertising Enthusiasts,75301051:69592661 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 1; 80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Business Services Industry Enthusiasts,76570311:72196501 | Cybba > B2B Audience > Employment Industry > Business and Finance > 0; 77012791:72604001 | Cybba > B2B Audience > Employment Industry > Business and Industries > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Finance Decision Makers,116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1; 76570451:72196791 | Cybba > B2B Audience > Employment Industry > Personal Finance > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Business Franchise Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Standalone Business Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Equipment & Supplies Enthusiasts,94042931:85079351 | Cybba > Behavioral Audience > Outdoor Supplies > Machinery  Equipment  and Supplies Merchant Wholesalers > 0; 75301381:69593261 | Cybba > BEHAVIORAL AUDIENCE > MEDICAL GOODS AND SERVICES > MEDICAL EQUIPMENT AND SUPPLIES MANUFACTURING > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Drug Discovery Enthusiasts,116621511:5039011 | Cybba > Cybba > Behavioral Audience > Food > Restaurant Discovery Diners > 1; 116495661:5036181 | Cybba > Cybba > Behavioral Audience > Media > Music Discovery Streamers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Facility Equipment & Supplies Enthusiasts,75301381:69593251 | Cybba > BEHAVIORAL AUDIENCE > MEDICAL GOODS AND SERVICES > MEDICAL EQUIPMENT AND SUPPLIES MANUFACTURING > 0; 94042931:85079361 | Cybba > Behavioral Audience > Outdoor Supplies > Machinery  Equipment  and Supplies Merchant Wholesalers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > C-Suite/C-Level Decision Makers,79900841:74869631 | Cybba > B2B Audience > Seniority > C-Suite > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Legal Enthusiasts,75316321:69600661 | Cybba > Behavioral Audience > Legal Services > Legal Services > 0; 80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Citrix Enthusiasts,76570541:72196961 | Cybba > B2B Audience > Employment Industry > Technology & Computing > 0; 80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Vice President Decision Makers,94042751:85078991 | Cybba > B2B Audience > Seniority > C Suite > 0; 97269301:87562851 | Cybba > Event Audience > Theatre Show > JOB > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Human Resources / Hr Human Resources Staff Enthusiasts,79900871:74869691 | Cybba > B2B Audience > Seniority > Staff > 1; 111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Information Technology / It Decision Makers,94042741:85078981 | Cybba > B2B Audience > Employment Industry > Technology Computing > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Education Enthusiasts,102122501:91175751 | Cybba > Cybba > Education Audience > No Known Education Deterministic > 1; 76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Social Influencer Enthusiasts,75301091:69592721 | Cybba > BEHAVIORAL AUDIENCE > CHARITY AND SOCIAL > CIVIC AND SOCIAL ORGANIZATIONS > 0; 75301081:69592711 | Cybba > BEHAVIORAL AUDIENCE > CHARITY AND SOCIAL > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Director Enthusiasts,79900851:74869641 | Cybba > B2B Audience > Seniority > Director > 0; 111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Aerospace Companies Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 75316261:69600491 | Cybba > Behavioral Audience > B2B Consulting > Data Processing. Hosting. and Related Services > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Automotive Enthusiasts,75301011:69592571 | Cybba > BEHAVIORAL AUDIENCE > AUTOMOTIVE > 0; 76570291:72196461 | Cybba > B2B Audience > Employment Industry > Automotive > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Legal Industry Enthusiasts,75316321:84980711 | Cybba > Behavioral Audience > Legal Services > Legal Services > 1; 76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Food Safety Enthusiasts,116540341:5037941 | Cybba > Cybba > Behavioral Audience > Food > Meal Plan Executors > 1; 94042691:85078881 | Cybba > B2B Audience > Employment Industry > Food Drink > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Business Collaboration Enthusiasts,80204231:75103281 | Cybba > Event Audience > Theatre Show > COLLABORATION > 1; 76570311:72196501 | Cybba > B2B Audience > Employment Industry > Business and Finance > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Materials & Chemicals Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 80753721:75488371 | Cybba > Behavioral Audience > Cutlery and Handtool Manufacturing > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Adhesive Tapes & Sealants Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 80753721:75488371 | Cybba > Behavioral Audience > Cutlery and Handtool Manufacturing > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Business Decision Makers,76570311:72196501 | Cybba > B2B Audience > Employment Industry > Business and Finance > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Business Development Decision Makers,76570311:72196501 | Cybba > B2B Audience > Employment Industry > Business and Finance > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Information Technology / It Databases & Data Processing Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 94042781:85079061 | Cybba > Behavioral Audience > B2B Consulting > Data Processing  Hosting  and Related Services > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Automatic Data Processing Enthusiasts,75316261:69600481 | Cybba > Behavioral Audience > B2B Consulting > Data Processing. Hosting. and Related Services > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Apple Enthusiasts,75301171:69592871 | Cybba > BEHAVIORAL AUDIENCE > CONSUMER ELECTRONICS > 0; 84250641:77669351 | Cybba > Event Audience > Theatre Show > Apple Orchard > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Cio (Chief Information Officer) Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Coo (Chief Operations Officer) Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Chairman Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Owner Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
