Competitor Provider,Competitor Segment Name,Competitor Segment ID,Proposed New Segment Name,Non Derived Segments utilized,Composition Similarity,Closest Cybba Segment,Closest Cybba Similarity,Taxonomy
Bridge,**AlarisB2B > B2B > Company Location Type > Branch Location,1012602321,Cybba > Behavioral Audience > Lifestyle > Branch Location Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,0.6403,Cybba > Event Audience > Broadway/Off-Broadway Theatre Show > Dance/Musical > Company,0.3502,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Company Location Type > Business Franchise,1012602311,Cybba > Behavioral Audience > Lifestyle > Business Franchise Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,0.575,Cybba > B2B Audience > Role > Small Business Owners,0.3808,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Company Location Type > Standalone Business,1012602291,Cybba > Behavioral Audience > Lifestyle > Standalone Business Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,0.575,Cybba > B2B Audience > Role > Small Business Owners,0.3808,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Business Decision Makers,1012602171,Cybba > B2B Audience > Lifestyle > Business Decision Makers,76570311:72196501 | Cybba > B2B Audience > Employment Industry > Business and Finance > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,0.4739,Cybba > B2B Audience > Role > Small Business Owners,0.7668,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Business Development Decision Makers,1012602161,Cybba > B2B Audience > Lifestyle > Business Development Decision Makers,76570311:72196501 | Cybba > B2B Audience > Employment Industry > Business and Finance > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,0.4739,Cybba > B2B Audience > Role > Small Business Owners,0.7668,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Communications and PR Decision Makers,1012602151,Cybba > B2B Audience > Lifestyle > Communications And Pr Decision Makers,75301041:69592641 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > 1; 113273151:4936151 | Cybba > Cybba > B2B Audience > Role > Finance Executives > 1,0.4489,Cybba > B2B Audience > Industry > Nonprofit Leaders,0.4532,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Customer Service Decision Makers,1012602141,Cybba > B2B Audience > Lifestyle > Customer Service Decision Makers,116621991:5039141 | Cybba > Cybba > Behavioral Audience > Auto > Service Schedule Followers > 1; 116402431:5033911 | Cybba > Cybba > Behavioral Audience > Lifestyle > Local Service Researchers > 1,0.599,Cybba > Purchase Audience > Retail > Streaming Service Subscribers,0.7449,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Education Decision Makers,1012602131,Cybba > B2B Audience > Lifestyle > Education Decision Makers,76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1; 102122501:91175741 | Cybba > Cybba > Education Audience > No Known Education Deterministic > 0,0.6015,Cybba > Education Audience > Educators > Education Nonprofit Workers,0.7648,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Finance Decision Makers,1012602121,Cybba > B2B Audience > Lifestyle > Finance Decision Makers,116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1; 76570451:72196791 | Cybba > B2B Audience > Employment Industry > Personal Finance > 1,0.5853,Cybba > B2B Audience > Industry > Finance Professionals,0.6117,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Human Resource / HR Decision Makers,1012602111,Cybba > B2B Audience > Lifestyle > Human Resource / Hr Decision Makers,76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1; 76570561:72197001 | Cybba > B2B Audience > Employment Industry > Travel > 0,0.4633,Cybba > Cybba > B2B Audience > Industry > Higher-Ed IT Decision Makers,0.6422,B2B Audience > Lifestyle
